Source Image,Target Image,Results,Comments
1149470\114853354-75aa65c0098bb1e308931c77-Captura+de+ecra%CC%83+2019-04-12%2C+a%CC%80s+12.21.15.png,114853354\75aa65c0098bb1e308931c77\Captura+de+ecra%CC%83+2019-04-12%2C+a%CC%80s+12.21.15.png,Successfully,
1149470\114853530-62b173b7ce1d34b435512f12-Captura+de+ecra%CC%83+2019-04-12%2C+a%CC%80s+12.22.51.png,114853530\62b173b7ce1d34b435512f12\Captura+de+ecra%CC%83+2019-04-12%2C+a%CC%80s+12.22.51.png,Successfully,
1149470\114853895-89ddb46fdbe6b94713a6ece4-Sections2.png,114853895\89ddb46fdbe6b94713a6ece4\Sections2.png,Successfully,
1149470\114854089-59a03263c3d5c51ac6741ebd-Captura+de+ecra%CC%83+2019-04-12%2C+a%CC%80s+12.25.23.png,114854089\59a03263c3d5c51ac6741ebd\Captura+de+ecra%CC%83+2019-04-12%2C+a%CC%80s+12.25.23.png,Successfully,
1149470\114854269-81f5583e0bb16a5ec9b00a38-Captura+de+ecra%CC%83+2019-04-12%2C+a%CC%80s+12.26.15.png,114854269\81f5583e0bb16a5ec9b00a38\Captura+de+ecra%CC%83+2019-04-12%2C+a%CC%80s+12.26.15.png,Successfully,
1152483\34164289-7e9787a532041bedbf5b2460-worker_menu_login.png,34164289\7e9787a532041bedbf5b2460\worker_menu_login.png,Successfully,
1152483\768022922-199d369bb5d5a0a4b5ce5046-Screenshot+2023-06-20+at+23.38.49.png,768022922\199d369bb5d5a0a4b5ce5046\Screenshot+2023-06-20+at+23.38.49.png,Successfully,
1152483\771550267-54548b733648bf02051389af-Screen+Shot+2023-06-26+at+11.58.39+AM.png,771550267\54548b733648bf02051389af\Screen+Shot+2023-06-26+at+11.58.39+AM.png,Successfully,
1496314\586619601-77ef125bef85147d60d0435d-Screenshot+2022-09-26+at+11.51.14.png,586619601\77ef125bef85147d60d0435d\Screenshot+2022-09-26+at+11.51.14.png,Successfully,
1496314\586620477-976431c0eef6174b31ff49f9-Screenshot+2022-09-26+at+11.54.29.png,586620477\976431c0eef6174b31ff49f9\Screenshot+2022-09-26+at+11.54.29.png,Successfully,
1496314\672192064-4fc6b576c3d70491683026bd-Screenshot+2023-02-14+at+14.09.55.png,672192064\4fc6b576c3d70491683026bd\Screenshot+2023-02-14+at+14.09.55.png,Successfully,
1538211\114852863-99e1ec6fa089a84264d45dc4-Alerts.png,114852863\99e1ec6fa089a84264d45dc4\Alerts.png,Successfully,
1538211\114852965-bd6671e36d05922361199fe3-Alerts2.png,114852965\bd6671e36d05922361199fe3\Alerts2.png,Successfully,
1654820\956072548-a690623e56a9355b18e16fb8-image.png,956072548\a690623e56a9355b18e16fb8\image.png,Successfully,
1654820\956104950-480e1036c7fba0e1250b114c-image.png,956104950\480e1036c7fba0e1250b114c\image.png,Successfully,
1654820\956110761-f95dc6f3f900057dbd0a89dd-image.png,956110761\f95dc6f3f900057dbd0a89dd\image.png,Successfully,
1654820\956118219-1f4cfb6df8254ee769b1fbd3-image.png,956118219\1f4cfb6df8254ee769b1fbd3\image.png,Successfully,
1654820\956119106-cf3159a7688dfffaa3f9548b-image.png,956119106\cf3159a7688dfffaa3f9548b\image.png,Successfully,
1654820\956269506-eee0e6d636f96a175ec78421-image.png,956269506\eee0e6d636f96a175ec78421\image.png,Successfully,
1654820\956399810-9b5cd522b5085f7d4735c6c4-image.png,956399810\9b5cd522b5085f7d4735c6c4\image.png,Successfully,
1654820\956443887-3dfac0244143ec5e7a112396-image.png,956443887\3dfac0244143ec5e7a112396\image.png,Successfully,
1654820\956448589-7f34b5c3039ebc0444f89feb-image.png,956448589\7f34b5c3039ebc0444f89feb\image.png,Successfully,
1654820\967446435-1ae6ea2b2beb8de92b1868eb-image.png,967446435\1ae6ea2b2beb8de92b1868eb\image.png,Successfully,
1957749\429717469-6502b06d70d1d971da06c8cc-Screenshot+2021-12-06+at+11.58.38.png,429717469\6502b06d70d1d971da06c8cc\Screenshot+2021-12-06+at+11.58.38.png,Successfully,
1957749\429720969-17c607df999e8aff4e625dc0-Screenshot+2021-12-06+at+12.03.58.png,429720969\17c607df999e8aff4e625dc0\Screenshot+2021-12-06+at+12.03.58.png,Successfully,
2070548\767984310-8ffa459ce727163de0127d2f-Screenshot+2023-06-20+at+22.05.19.png,767984310\8ffa459ce727163de0127d2f\Screenshot+2023-06-20+at+22.05.19.png,Successfully,
2070548\767985211-39393638b3e3547d74cccda1-Screenshot+2023-06-20+at+22.07.07.png,767985211\39393638b3e3547d74cccda1\Screenshot+2023-06-20+at+22.07.07.png,Successfully,
2224656\643548072-28c8b32d96681c5be63a07a6-Screen+Shot+2022-12-30+at+11.04.49+AM.png,643548072\28c8b32d96681c5be63a07a6\Screen+Shot+2022-12-30+at+11.04.49+AM.png,Successfully,
2224656\643550178-5d6587ff27efa6d7159a133a-Screen+Shot+2022-12-30+at+11.09.01+AM.png,643550178\5d6587ff27efa6d7159a133a\Screen+Shot+2022-12-30+at+11.09.01+AM.png,Successfully,
2224656\643562942-e1e2af6db39ce3ab3b62d472-Recording-20221230_111306+%282%29.gif,643562942\e1e2af6db39ce3ab3b62d472\Recording-20221230_111306+%282%29.gif,Successfully,
2224656\643565180-e2703e596d7b1cb9f016e638-Screen+Shot+2022-12-30+at+11.41.08+AM.png,643565180\e2703e596d7b1cb9f016e638\Screen+Shot+2022-12-30+at+11.41.08+AM.png,Successfully,
